
@corpus\AlbertoProenca.md	@corpus\AlbertoProenca.md	VERB	
a	a	ADP	
que	que	PRON	
se	se	PRON	
chama	chamar	VERB	
hoje	hoje	ADV	
em	em	ADP	
dia	dia	NOUN	
uma	um	DET	
moradia	moradia	NOUN	
germinada	germinar	VERB	

Eram	Eram	AUX	
duas	dois	NUM	
casas	casa	NOUN	
coladas	colar	VERB	
cada	cada	DET	
uma	um	NUM	
delas	de ele	PRON	
com	com	ADP	
três	três	NUM	
frentes	frente	NOUN	
e	e	CCONJ	
um	um	DET	
jardim	jardim	NOUN	

Era	ser	ADV	
numa	em um	ADP	
esquina	esquina	NOUN	
de	de	ADP	
uma	um	DET	
rua	rua	NOUN	
e	e	CCONJ	
tinha	ter	VERB	
mesmo	mesmo	ADV	
duas	dois	NUM	
frentes	frente	NOUN	

Uma	um	NUM	
delas	de elas	PRON	
era	ser	AUX	
a	o	DET	
entrada	entrada	NOUN	
principal	principal	ADJ	
tinha	ter	VERB	
um	um	DET	
jardim	jardim	NOUN	
e	e	CCONJ	
a	o	DET	
parte	parte	NOUN	
lateral	lateral	ADJ	
tinha	ter	VERB	
a	o	DET	
entrada	entrada	NOUN	
para	para	ADP	
o	o	DET	
carro	carro	NOUN	

Depois	depois	ADV	
mudei	mudar	VERB	
onde	onde	PRON	
vivi	viver	VERB	
até	até	ADV	
ter	ter	VERB	
13	13	NUM	
anos	ano	NOUN	
e	e	CCONJ	
só	só	ADV	
depois	depois	ADV	
é	ser	AUX	
que	que	SCONJ	
fui	ser	AUX	
para	para	ADP	
Lourenço Marques	Lourenço Marques	PROPN	PER

Mas	mas	CCONJ	
onde	onde	PRON	
eu	eu	PRON	
tenho	ter	VERB	
mais	mais	DET	
recordações	recordação	NOUN	
é	ser	AUX	
em	em	ADP	
Nampula	Nampula	PROPN	LOC
que	que	PRON	
era	ser	AUX	
onde	onde	ADV	
eu	eu	PRON	
passava	passar	VERB	
as	o	DET	
minhas	meu	DET	
férias	féria	NOUN	
na	em o	ADP	
piscina	piscina	NOUN	

Na	em o	ADP	
segunda	segundo	ADJ	
casa	casa	NOUN	
eu	eu	PRON	
morava	morar	VERB	
a	a	ADP	
cem	cem	NUM	
metro	metro	NOUN	
da	de o	ADP	
piscina	piscina	NOUN	
de	de	ADP	
modo	modo	NOUN	
que	que	SCONJ	
eram	ser	AUX	
dias	dia	NOUN	
manhãs	manhãs	NOUN	
e	e	CCONJ	
tardes	tarde	NOUN	
na	em o	ADP	
piscina	piscina	NOUN	
de	de	ADP	
Nampula	Nampula	PROPN	LOC

